Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,City,School Number,School or Citywide Complaint,pctFemale,pctMale,pctPacIslander,pctLatino,pctAmericanIndian,pctAsian,pctWhite,pctBlack,pctOther,pctEthnicTotal,pctPermResidentAlien,pctUSCitizen,pctRecPublicAssistance
Department of Sanitation,Graffiti,Graffiti,Comercial,10467,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Sanitation,Graffiti,Graffiti,Comercial,10467,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Sanitation,Graffiti,Graffiti,Comercial,11373,Elmhurst,Unspecified,,Q3_pctFemale,,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Sanitation,Graffiti,Graffiti,Comercial,10462,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q2_pctUSCitizen,Q3_pctRecPublicAssistance
Department of Sanitation,Graffiti,Graffiti,Comercial,10460,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Sanitation,Graffiti,Graffiti,Residential,11206,BROOKLYN,Unspecified,,Q1_pctFemale,Q3_pctMale,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Sanitation,Graffiti,Graffiti,Residential,10458,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Sanitation,Graffiti,Graffiti,Residential,10467,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Sanitation,Graffiti,Graffiti,Residential,10467,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Sanitation,Graffiti,Graffiti,Residential,10463,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Sanitation,Graffiti,Graffiti,Residential,11373,Elmhurst,Unspecified,,Q3_pctFemale,,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Sanitation,Graffiti,Graffiti,Residential,11368,Corona,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q2_pctLatino,,Q1_pctAsian,Q1_pctWhite,,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,
Department of Sanitation,Graffiti,Graffiti,Residential,10458,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Sanitation,Graffiti,Graffiti,Residential,10472,BRONX,Unspecified,,,,,,,,,,,,,,
Department of Sanitation,Graffiti,Graffiti,,10467,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Sanitation,Graffiti,Graffiti,,11356,College Point,Unspecified,,,,,,,,,,,,,,
Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11365,Fresh Meadows,Unspecified,,,,,,,,,,,,,,
Department of Buildings,Investigations and Discipline (IAD),Plumbing Work - Unlicensed/Illegal/Improper Work In Progress,,11432,Jamaica,Unspecified,,Q3_pctFemale,,,,,Q2_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,,11206,BROOKLYN,Unspecified,,Q1_pctFemale,Q3_pctMale,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,,11216,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,Site Conditions Endangering Workers,,10307,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Department of Buildings,BEST/Site Safety,Demolition - Unsafe,,11207,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Buildings,BEST/Site Safety,Demolition - Unsafe,,11357,Whitestone,Unspecified,,,,,,,,,,,,,,
Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,,11694,Rockaway Park,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,11370,East Elmhurst,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,11693,Far Rockaway,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,11224,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Buildings,General Construction/Plumbing,Debris - Falling Or In Danger Of Falling,,10002,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q3_pctAsian,Q1_pctWhite,,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Buildings,General Construction/Plumbing,Debris - Falling Or In Danger Of Falling,,11355,Flushing,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,Failure To Maintain,,10465,BRONX,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q2_pctLatino,,Q1_pctAsian,Q1_pctWhite,Q1_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,10002,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q3_pctAsian,Q1_pctWhite,,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,11370,East Elmhurst,Unspecified,,,,,,,,,,,,,,
Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11232,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11214,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,Q2_pctAsian,Q2_pctWhite,Q1_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11234,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,,Q2_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11216,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11354,Flushing,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,,Q2_pctOther,Q3_pctEthnicTotal,Q3_pctPermResidentAlien,,
Department of Buildings,General Construction/Plumbing,Landmark Bldg - Illegal Work,,11238,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,Safety Netting/Guard Rails - Damaged/Inadequate/None (6 Stories/75 Feet Or Less),,10009,NEW YORK,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Buildings,General Construction/Plumbing,Site Conditions Endangering Workers,,11361,Bayside,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,,11215,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,,11101,Long Island City,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,,10016,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Buildings,General Construction/Plumbing,Curb Cut/Driveway/Carport - Illegal,,11423,Hollis,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,Curb Cut/Driveway/Carport - Illegal,,11357,Whitestone,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,Curb Cut/Driveway/Carport - Illegal,,10304,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,Wall/Retaining Wall - Bulging/Cracked,,11362,Little Neck,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,Site Conditions Endangering Workers,,11204,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Buildings,General Construction/Plumbing,Site Conditions Endangering Workers,,11219,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Buildings,Miscellaneous Categories,FDNY Referral - Pilot,,10001,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,10465,BRONX,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q2_pctLatino,,Q1_pctAsian,Q1_pctWhite,Q1_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,10472,BRONX,Unspecified,,,,,,,,,,,,,,
Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11420,South Ozone Park,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,,Q2_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q3_pctRecPublicAssistance
Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11361,Bayside,Unspecified,,,,,,,,,,,,,,
Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,10474,BRONX,Unspecified,,,,,,,,,,,,,,
Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11101,Long Island City,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,10468,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11414,Howard Beach,Unspecified,,,,,,,,,,,,,,
Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11421,Woodhaven,Unspecified,,,,,,,,,,,,,,
Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11435,Jamaica,Unspecified,,,,,,,,,,,,,,
Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11427,Queens Village,Unspecified,,,Q3_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,Q2_pctPermResidentAlien,Q2_pctUSCitizen,
Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11204,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,10314,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11421,Woodhaven,Unspecified,,,,,,,,,,,,,,
Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11419,South Richmond Hill,Unspecified,,,Q3_pctMale,,,,,,Q3_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11369,East Elmhurst,Unspecified,,,,,,,,,,,,,,
Department of Buildings,Building/Use,Illegal. Commercial Use In Resident Zone,,11355,Flushing,Unspecified,,,,,,,,,,,,,,
Department of Buildings,Building/Use,Illegal. Commercial Use In Resident Zone,,11375,Forest Hills,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Buildings,Building/Use,Illegal. Commercial Use In Resident Zone,,11426,Bellerose,Unspecified,,,,,,,,,,,,,,
Department of Buildings,Building/Use,Illegal. Commercial Use In Resident Zone,,11374,Rego Park,Unspecified,,,Q3_pctMale,,,,,Q2_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Buildings,Building/Use,Illegal. Commercial Use In Resident Zone,,10462,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q2_pctUSCitizen,Q3_pctRecPublicAssistance
Department of Buildings,Building/Use,Illegal. Commercial Use In Resident Zone,,11369,East Elmhurst,Unspecified,,,,,,,,,,,,,,
Department of Buildings,Building/Use,SRO - Illegal Work/No Permit/Change In Occupancy/Use,,10013,NEW YORK,Unspecified,,Q1_pctFemale,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Buildings,Building/Use,SRO - Illegal Work/No Permit/Change In Occupancy/Use,,11204,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,,10305,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,"Building - Vacant,Open And Unguarded",,ADDRESS,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,"Building - Vacant,Open And Unguarded",,ADDRESS,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,"Building - Vacant,Open And Unguarded",,ADDRESS,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,10009,NEW YORK,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,10012,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,11215,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,11236,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q1_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,Q2_pctPermResidentAlien,Q2_pctUSCitizen,
Department of Buildings,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,,11374,Rego Park,Unspecified,,,Q3_pctMale,,,,,Q2_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Buildings,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,,10016,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Buildings,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,,10002,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q3_pctAsian,Q1_pctWhite,,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Buildings,General Construction/Plumbing,Debris - Falling Or In Danger Of Falling,,10022,NEW YORK,Unspecified,,Q3_pctFemale,,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Buildings,General Construction/Plumbing,Debris - Falling Or In Danger Of Falling,,10029,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Buildings,General Construction/Plumbing,Failure To Maintain,,10004,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,Failure To Maintain,,10004,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,Failure To Maintain,,10038,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q2_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Buildings,General Construction/Plumbing,Failure To Maintain,,10301,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,Failure To Maintain,,10038,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q2_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Buildings,General Construction/Plumbing,Fence - None/Inadequate,,10306,STATEN ISLAND,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Buildings,General Construction/Plumbing,Fence - None/Inadequate,,11230,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Buildings,General Construction/Plumbing,Fence - None/Inadequate,,11420,South Ozone Park,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,,Q2_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q3_pctRecPublicAssistance
Department of Buildings,General Construction/Plumbing,Vent/Exhaust - Illegal/Improper,,10454,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Buildings,Plumbing,Failure To Retain Water/Improper Drainage- (LL103/89),,11238,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Buildings,Plumbing,Failure To Retain Water/Improper Drainage- (LL103/89),,10029,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Buildings,Plumbing,Failure To Retain Water/Improper Drainage- (LL103/89),,10467,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Buildings,BEST/Site Safety,Demolition - Unsafe,,10019,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,10469,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,11236,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q1_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,Q2_pctPermResidentAlien,Q2_pctUSCitizen,
Department of Buildings,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,,11215,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,,10014,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,Failure To Maintain,,11235,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q2_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Buildings,General Construction/Plumbing,Failure To Maintain,,10034,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Buildings,BEST/Site Safety,Demolition - Unsafe,,10306,STATEN ISLAND,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Buildings,Boilers,Boiler - Defective/Inoperative/No Permit,,10027,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Buildings,Boilers,Boiler - Defective/Inoperative/No Permit,,11377,Woodside,Unspecified,,,,,,,,,,,,,,
Department of Buildings,Boilers,Boiler - Defective/Inoperative/No Permit,,11422,Rosedale,Unspecified,,,,,,,,,,,,,,
Department of Buildings,Boilers,Boiler - Defective/Inoperative/No Permit,,11209,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Buildings,Boilers,Boiler - Defective/Inoperative/No Permit,,11226,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Buildings,Boilers,Boiler - Defective/Inoperative/No Permit,,11691,Far Rockaway,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Correspondence - Taxi and Limousine Commission,Taxi Compliment,Driver Compliment,N/A,,,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,11693,FAR ROCKAWAY,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11217,BROOKLYN,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,11217,BROOKLYN,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,11217,BROOKLYN,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11201,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11220,BROOKLYN,Unspecified,,Q1_pctFemale,Q3_pctMale,,,,Q1_pctAsian,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11232,BROOKLYN,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11220,BROOKLYN,Unspecified,,Q1_pctFemale,Q3_pctMale,,,,Q1_pctAsian,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11220,BROOKLYN,Unspecified,,Q1_pctFemale,Q3_pctMale,,,,Q1_pctAsian,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11215,BROOKLYN,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,11215,BROOKLYN,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,11232,BROOKLYN,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,11232,BROOKLYN,Unspecified,,,,,,,,,,,,,,
